event_id_cnty,country,year,latitude,longitude
PER2405,Peru,2021,-14.5099,-71.8846
PER2404,Peru,2021,-6.7011,-79.9061
ARG6337,Argentina,2021,-45.8644,-67.4997
BRA37107,Brazil,2021,-19.9208,-43.9378
BRA37126,Brazil,2021,-5.0892,-42.8019
MEX40363,Mexico,2021,20.6764,-103.3422
MEX40359,Mexico,2021,19.4841,-99.1844
MEX40362,Mexico,2021,16.8619,-99.8866
PER2406,Peru,2021,-12.0566,-77.1181
PER2408,Peru,2021,-14.5099,-71.8846
ARG6338,Argentina,2021,-45.8644,-67.4997
ARG6339,Argentina,2021,-35.6983,-64.1331
PER2407,Peru,2021,-16.3989,-71.535
MEX40386,Mexico,2021,19.2935,-99.6573
MEX40392,Mexico,2021,17.06,-96.7255
MEX40382,Mexico,2021,17.5049,-99.0937
PER2410,Peru,2021,-14.5099,-71.8846
BRA37144,Brazil,2021,-22.7642,-43.3994
MEX40403,Mexico,2021,16.8037,-95.0709
MEX40405,Mexico,2021,18.8905,-96.8
PER2414,Peru,2021,-14.5099,-71.8846
ARG6350,Argentina,2021,-31.5824,-68.5422
BRA37159,Brazil,2021,-19.9208,-43.9378
BRA37189,Brazil,2021,-23.5017,-47.4581
BRA37192,Brazil,2021,-20.3194,-40.3378
BRA37173,Brazil,2021,-5.3504,-42.8179
BRA37185,Brazil,2021,-12.9711,-38.5108
BRA37177,Brazil,2021,-30.0331,-51.23
ARG6348,Argentina,2021,-31.6295,-60.701
ARG6344,Argentina,2021,-29.1443,-59.6438
ARG6341,Argentina,2021,-30.8032,-60.0058
ARG6349,Argentina,2021,-28.4121,-59.2601
ARG6347,Argentina,2021,-30.5816,-59.9282
ARG6343,Argentina,2021,-32.4571,-60.8922
ARG6346,Argentina,2021,-32.9528,-60.6473
ARG6340,Argentina,2021,-29.9091,-59.8273
ARG6345,Argentina,2021,-29.4994,-59.7479
PER2413,Peru,2021,-8.116,-79.03
ARG6342,Argentina,2021,-34.5659,-59.1143
BRA37182,Brazil,2021,-22.9147,-43.4879
MEX40438,Mexico,2021,22.2463,-97.837
MEX40412,Mexico,2021,27.8812,-101.5129
MEX40433,Mexico,2021,17.8068,-97.7762
MEX40434,Mexico,2021,17.1553,-97.8925
CHI6552,Chile,2021,-38.9321,-72.0269
CHI6554,Chile,2021,-33.4311,-70.6045
CHI6555,Chile,2021,-33.4569,-70.6483
MEX40435,Mexico,2021,17.18,-97.9311
MEX40442,Mexico,2021,18.5668,-97.1021
MEX40448,Mexico,2021,22.7761,-102.5718
PER2411,Peru,2021,-3.7491,-73.2538
PER2412,Peru,2021,-3.7491,-73.2538
MEX40417,Mexico,2021,16.8619,-99.8866
MEX40436,Mexico,2021,25.7834,-108.9943
MEX40444,Mexico,2021,20.5341,-97.4436
MEX40414,Mexico,2021,21.122,-101.6832
PER2421,Peru,2021,-14.5099,-71.8846
PER2416,Peru,2021,-12.0566,-77.1181
PER2415,Peru,2021,-13.1588,-74.2232
COL5269,Colombia,2021,4.4396,-75.1937
BRA37197,Brazil,2021,-19.9208,-43.9378
BRA37221,Brazil,2021,-23.6939,-46.565
BRA37231,Brazil,2021,-20.3194,-40.3378
BRA37201,Brazil,2021,-25.2917,-49.2242
BRA37213,Brazil,2021,-22.8833,-43.1036
ARG6353,Argentina,2021,-24.1894,-65.2945
