event_id_cnty,year,latitude,longitude,country
ARG14385,2024,-36.5427,-56.7024,Argentina
ARG14498,2024,-51.6268,-69.2262,Argentina
MEX82642,2024,19.6877,-101.9548,Mexico
ARG14401,2024,-34.5659,-59.1143,Argentina
ARG14492,2024,-33.6753,-65.454,Argentina
BRA78139,2024,-21.7633,-43.3501,Brazil
BRA78176,2024,-1.444,-48.4728,Brazil
CHI11327,2024,-33.4569,-70.6483,Chile
CHI11332,2024,-20.2133,-70.1503,Chile
CHI11335,2024,-27.1547,-109.4262,Chile
ARG14703,2024,-33.6753,-65.454,Argentina
MEX82647,2024,17.0311,-95.4465,Mexico
MEX82640,2024,17.5516,-99.5011,Mexico
ARG14433,2024,-34.6141,-58.4579,Argentina
MEX82644,2024,18.9218,-99.2349,Mexico
MEX82651,2024,19.5271,-96.9226,Mexico
CHI11281,2024,-27.3668,-70.3314,Chile
MEX82639,2024,16.8619,-99.8866,Mexico
MEX82650,2024,19.1799,-96.1356,Mexico
CHI14196,2024,-27.3668,-70.3314,Chile
MEX82653,2024,18.9337,-90.5992,Mexico
ARG14393,2024,-34.9206,-57.9529,Argentina
ARG14415,2024,-45.8644,-67.4997,Argentina
ARG14462,2024,-31.4355,-64.2009,Argentina
BRA78133,2024,-19.7609,-44.3137,Brazil
BRA78384,2024,-30.8526,-51.8078,Brazil
CHI11295,2024,-36.827,-73.0498,Chile
CHI11320,2024,-33.455,-70.5934,Chile
CHI11347,2024,-33.036,-71.6296,Chile
CHI11348,2024,-33.036,-71.6296,Chile
CHI11351,2024,-33.0246,-71.5518,Chile
COL25060,2024,3.6569,-76.6886,Colombia
MEX82663,2024,18.9218,-99.2349,Mexico
MEX82666,2024,17.9878,-92.9194,Mexico
PER9187,2024,-5.1945,-80.6328,Peru
PER9188,2024,-5.1945,-80.6328,Peru
MEX82669,2024,19.5271,-96.9226,Mexico
MEX82670,2024,19.5271,-96.9226,Mexico
COL24952,2024,10.8843,-72.8467,Colombia
MEX82659,2024,16.8619,-99.8866,Mexico
MEX82665,2024,19.2829,-98.4355,Mexico
MEX82658,2024,14.9111,-92.2643,Mexico
CHI14197,2024,-35.4264,-71.6554,Chile
CHI14198,2024,-33.036,-71.6296,Chile
MEX82676,2024,19.3959,-99.0976,Mexico
MEX82678,2024,25.4217,-100.9997,Mexico
MEX82689,2024,19.7034,-101.192,Mexico
MEX82698,2024,16.9556,-96.4792,Mexico
ARG14394,2024,-34.9206,-57.9529,Argentina
ARG14411,2024,-28.4744,-65.7793,Argentina
ARG14417,2024,-42.9175,-71.3229,Argentina
ARG14479,2024,-27.3782,-55.9201,Argentina
ARG14501,2024,-31.6295,-60.701,Argentina
ARG14507,2024,-27.8603,-64.2533,Argentina
ARG14509,2024,-27.7984,-64.2728,Argentina
BRA78432,2024,-23.5506,-46.6334,Brazil
COL24920,2024,10.6303,-73.1282,Colombia
PER9115,2024,-9.0853,-78.5783,Peru
PER9146,2024,-15.3627,-75.1669,Peru
ARG14635,2024,-51.6268,-69.2262,Argentina
MEX82682,2024,17.5516,-99.5011,Mexico
PER9179,2024,-3.7491,-73.2538,Peru
ARG14434,2024,-34.6141,-58.4579,Argentina
ARG14443,2024,-34.6141,-58.4579,Argentina
ARG14449,2024,-34.6141,-58.4579,Argentina
ARG14451,2024,-34.6141,-58.4579,Argentina
ARG14454,2024,-34.6141,-58.4579,Argentina
PER9142,2024,-13.4099,-76.1324,Peru
MEX82703,2024,18.9037,-96.9993,Mexico
MEX82702,2024,23.2003,-106.4222,Mexico
MEX82680,2024,16.8619,-99.8866,Mexico
MEX82699,2024,25.7834,-108.9943,Mexico
MEX82700,2024,24.8088,-107.394,Mexico
MEX82879,2024,24.8088,-107.394,Mexico
MEX82704,2024,32.5325,-117.019,Mexico
MEX82705,2024,24.1487,-110.307,Mexico
MEX82707,2024,19.3959,-99.0976,Mexico
MEX82721,2024,16.4333,-95.0216,Mexico
MEX82722,2024,16.5529,-94.9459,Mexico
BRA77894,2024,-9.6658,-35.7353,Brazil
BRA78238,2024,-8.0539,-34.8811,Brazil
BRA78239,2024,-8.0539,-34.8811,Brazil
COL24854,2024,10.9799,-74.8013,Colombia
COL24954,2024,11.0687,-72.759,Colombia
COL24963,2024,11.6471,-72.7818,Colombia
COL24972,2024,11.5288,-72.9115,Colombia
MEX82875,2024,18.9786,-98.4481,Mexico
CHI11361,2024,-36.827,-73.0498,Chile
PER9202,2024,-5.3293,-76.4497,Peru
ARG14513,2024,-26.8198,-65.2169,Argentina
ARG14587,2024,-28.6372,-65.1288,Argentina
ARG14590,2024,-27.496,-64.8641,Argentina
ARG14435,2024,-34.6141,-58.4579,Argentina
MEX82724,2024,17.9878,-92.9194,Mexico
MEX82716,2024,19.9566,-98.9223,Mexico
MEX82723,2024,24.8088,-107.394,Mexico
CHI14199,2024,-31.898,-70.836,Chile
MEX82731,2024,32.5325,-117.019,Mexico
MEX82812,2024,18.6654,-101.6483,Mexico
MEX82864,2024,16.5529,-94.9459,Mexico
PER9203,2024,-5.3293,-76.4497,Peru
BRA78478,2024,-3.1019,-60.025,Brazil
BRA78613,2024,-5.795,-35.2094,Brazil
MEX82837,2024,18.8128,-98.9553,Mexico
MEX82771,2024,16.8619,-99.8866,Mexico
MEX82749,2024,19.372,-99.1579,Mexico
MEX82896,2024,26.0924,-98.2781,Mexico
ARG14520,2024,-38.5543,-58.7385,Argentina
ARG14547,2024,-51.6268,-69.2262,Argentina
PER9204,2024,-13.71,-76.203,Peru
PER9210,2024,-15.4783,-70.1252,Peru
BRA78502,2024,-15.7797,-47.9297,Brazil
BRA78527,2024,-19.9208,-43.9378,Brazil
MEX82869,2024,19.044,-98.1975,Mexico
MEX82871,2024,19.044,-98.1975,Mexico
MEX82772,2024,16.8619,-99.8866,Mexico
MEX82910,2024,18.8349,-97.1534,Mexico
MEX82911,2024,18.8349,-97.1534,Mexico
MEX82912,2024,18.8349,-97.1534,Mexico
MEX82735,2024,32.5325,-117.019,Mexico
MEX82739,2024,18.6213,-92.061,Mexico
MEX82745,2024,28.6368,-106.0763,Mexico
MEX82752,2024,19.3959,-99.0976,Mexico
MEX82889,2024,18.5301,-92.6522,Mexico
MEX82894,2024,17.7446,-91.7651,Mexico
MEX82903,2024,23.7311,-99.1513,Mexico
MEX82916,2024,20.9672,-89.6244,Mexico
ARG14548,2024,-43.2993,-65.0935,Argentina
CHI11357,2024,-20.2558,-69.7863,Chile
BRA78462,2024,-10.6519,-68.499,Brazil
BRA78530,2024,-19.9208,-43.9378,Brazil
BRA78531,2024,-19.9208,-43.9378,Brazil
BRA78561,2024,-25.4278,-49.2731,Brazil
BRA78568,2024,-8.0539,-34.8811,Brazil
BRA78614,2024,-5.795,-35.2094,Brazil
BRA78623,2024,-30.0331,-51.23,Brazil
BRA78624,2024,-30.0331,-51.23,Brazil
BRA78642,2024,-30.0331,-51.23,Brazil
BRA78583,2024,-22.9064,-43.1822,Brazil
BRA78635,2024,-23.5506,-46.6334,Brazil
BRA79575,2024,-22.8039,-43.3722,Brazil
MEX82865,2024,17.06,-96.7255,Mexico
MEX82874,2024,19.0509,-98.3007,Mexico
MEX82748,2024,19.4841,-99.1844,Mexico
MEX82753,2024,19.2635,-99.1049,Mexico
MEX82842,2024,18.9218,-99.2349,Mexico
MEX82844,2024,18.9218,-99.2349,Mexico
MEX82801,2024,19.5991,-99.0492,Mexico
MEX82774,2024,16.8619,-99.8866,Mexico
MEX82775,2024,16.8619,-99.8866,Mexico
MEX82804,2024,19.4788,-99.2332,Mexico
ARG14549,2024,-34.5241,-58.5037,Argentina
MEX82878,2024,25.7834,-108.9943,Mexico
MEX82726,2024,30.8419,-116.0648,Mexico
MEX82763,2024,21.122,-101.6832,Mexico
CHI14203,2024,-33.036,-71.6296,Chile
MEX82750,2024,19.3502,-99.1621,Mexico
